Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
12/04/2020 09:35,@econsulta_ver,e-veracruz.mx,"#Nación | Ante los recientes registros de contagios de coronavirus en México, el subsecretario de salud, Hugo López-Gatell, informó que el país se encuentra actualmente en Fase 2, sin embargo; no es la última que se contempla contra el covid-19.",1249375493935239169,http://www.e-veracruz.mx/nota/2020-04-12/nacion/en-que-consiste-la-fase-3-por-coronavirus-en-mexico,,,0,0,Twitter Web App,22889,10505,270,,22/06/2010,"Xalapa, Veracruz","| Somos referencia obligada |🗞️ Más allá de la noticia, con exclusivas, reportajes, historias y periodismo de investigación de lo que acontece en Veracruz 🔍",http://e-veracruz.mx/,,View
12/04/2020 09:35,@Diego68376211,@Diego,Inevitable la fase 3,1249375483508043776,,,,0,1,Twitter for iPhone,1207,1016,0,,29/10/2019,,Aficionado de cruz azul más no apasionado,,,View
12/04/2020 09:34,@JesDeVer,Jesús De Veracruz,"Según mi encuesta, la mitad no sabe qué carajo es la fase 3.",1249375406580359168,,pic.twitter.com/OL1l3SahxN,,1,4,Twitter for Android,256,452,0,,4/04/2020,,Influencer desde hace 2000 años. Tengo más seguidores que Cristiano Ronaldo. Ven y #sigueme,,,View
12/04/2020 09:34,@iztapanero,IᘔTᗩᑭᗩÑEᖇO,Confirmen si ustedes también acaban de alcanzar la fase 3... de obesidad.,1249375346052534273,,,,1,9,Twitter for iPhone,12651,338,47,,30/03/2017,"Colonial Iztapalapa, Iztapalapa","Soy el jacky chan de la guarres, tomo lo que tengo a la mano para lograr el objetivo. Contacto: iztapanero@gmail.com http://instagram.com/iztapanero",http://facebook.com/iztapanero,,View
12/04/2020 09:34,@gelipavera,angeles vera,"No sé si tienes problemas de escucha, pero tu tweet da información errónea. Vuelve a escucharlo y define nuevamente lo que es la fase 3. Anda, se que puedes. RT @colette_fantin: La fase 3 es cuando las camas de hospital y ventiladores ya no son suficientes; desgraciadamente ya vamos a entrar a esta fase. ¡Quedémonos en casa! Y cómo diría un clásico: Si bien la salud no es todo, sin la salud no hay nada.",1249375272979148801,https://twitter.com/colette_fantin/status/1249369910482010113,pic.twitter.com/zaWb3BcdCa,,0,1,Twitter for iPhone,65,357,0,,30/03/2012,,"Mamá, esposa, emprendedora, idealista y muy, muy tragona...",,,View
12/04/2020 09:34,@YoSoyPolito,Polito,"Yo ya estoy en la Fase 3, pero de engorda.",1249375223184388097,,,,4,9,Twitter for iPhone,47570,198,339,,23/08/2010,📍En el ombligo de la luna,Chavito bien de toda la vida,http://instagram.com/yosoypolito,,View
12/04/2020 09:33,@SolDeCuernavaca,El Sol de Cuernavaca,"#Covid19 || La fase 3 significa que habrá más contagios de forma acelerada, y desafortunadamente más decesos. #PorSiNoLoViste #QuédateEnCasa",1249374977112997888,https://www.elsoldecuernavaca.com.mx/local/fase-tres-del-coronavirus-esta-por-iniciar-salud-5087069.html,,,3,4,TweetDeck,9105,407,109,,19/08/2014,"Las Palmas, Cuernavaca","Somos una empresa de @OEMenlinea, una de las más grandes de América. https://www.facebook.com/ElSoldeCuernavaca/ https://www.instagram.com/elsoldecuernavaca/",http://www.elsoldecuernavaca.com.mx/,,View
12/04/2020 09:31,@VOMNoticias,VOM Noticias,"“QUÉDATE EN CASA”: LÓPEZ GATELL El Dr. Hugo López Gatell Ramírez, asegura que Mexico llegará a la fase 3 de la epidemia del Coronavirus, por lo cual sigue exhortando a los mexicanos a quedarse en casa como medida de prevención. #VOMNoticias",1249374536333746176,,pic.twitter.com/PnRQDHLZH0,,0,3,Twitter for iPhone,5789,512,55,,28/10/2011,"Cuernavaca, Morelos.",VOM Noticias - Periodismo Digital entérate de lo más relevante y actual del acontecer día con día.🌎 Síguenos en Facebook y a través de la 📻 8:30 am y 1 pm .,http://www.vomnoticias.com,,View
12/04/2020 09:30,@OMG32419021,NO A AMLOLANDIA! . QUEREMOS PAZ Y PROGRESO!,"Al paso que está llevando @HLGatell está pandemia , Probablemente por el mes de septiembre estemos entrando a la fase 3, y eso con sus dudas.. Al no hacer pruebas y llevar la cuenta de casos de cobid-19 al gusto de su patrón lopez Obrador, Podríamos ser el ""país Inmune"" RT @PelusoKepler: Fase 3 muy cerca...",1249374442481991687,https://twitter.com/PelusoKepler/status/1249363715104952320,https://pbs.twimg.com/media/EVahrVoXQAYd6Fq.jpg,,0,1,Twitter for Android,629,553,0,,5/03/2019,CDMX,"Música Electrónica. Politica. Economia, Cine. NO, a la Demagogia, NO al Socialismo! NO a las Mentiras de Gobierno! No a Políticos Ineptos!",,,View
12/04/2020 09:30,@MarioRo44409138,Mario Rojas,"Gente a ver a ver no se. Su entiendan los que salen a lo bruto no lo hagan desde cuando se les está diciendo quédense en casa no salgan de favor carajo no lo pueden hacer o que?? Llegaremos a la fase 3 pronto cooperen que es tan difícil?? #QuedateEnCasa""",1249374412928884738,,,,1,3,Twitter for Android,8,217,0,,29/10/2019,,Ir al cine. Ir de vacaciones bailar cantar ir a museos salir con amigos estar en familia nadar jugar voleyball oír música mi cel 5548349001,,,View
12/04/2020 09:30,@ElPunto_Mex,El ● (desde casa 🏠),¿Qué significa la Fase 3 por #COVID19 y cuáles son las medidas?,1249374312357924865,http://bit.ly/2V20Yzw,https://pbs.twimg.com/media/EVarUP8XgAAoT08.jpg,,0,0,Hootsuite Inc.,171,4241,0,,8/08/2019,México,El Punto Es Informar... #QuédateEnCasa #QuédateEnElPunto,,,View
12/04/2020 09:29,@UnTalArmas,Un Tal Armas,"Esto implica una Fase 3, para que no creen falsos rumores:",1249374116798320640,,https://pbs.twimg.com/media/EVarIn7U0AAaLLN.jpg,,8,22,Twitter for iPhone,16809,6233,25,,28/01/2010,En la fila de las tortillas,De humor acidito e irritante. Una vez que te conquisto ya no me sueltas. Amo todo aquello que contenga azúcar y me haga sonreir...y sí soy berrinchudo...,,,View
12/04/2020 09:29,@SMichoacano,SistemaMichoacano,"#SMNoticias #Nacional l Reconversión hospitalaria, importante para Fase 3: López-Gatell.",1249374065888026625,https://bit.ly/2XyflNF,https://pbs.twimg.com/media/EVaq7X6WsAA7H4_.jpg,,0,0,TweetDeck,19083,957,128,,25/03/2012,"Morelia, Michoacán de Ocampo","El Sistema Michoacano de Radio y Televisión es el medio público de #Michoacán, MX http://www.facebook.com/SistemaMichoacano",http://sistemamichoacano.tv,,View
12/04/2020 09:29,@alezetab,Alejandra Ezeta Bagnis,"Reconversión hospitalaria, importante para Fase 3 López-Gatell",1249374004965789696,https://www.radioformula.com.mx/noticias/20200412/reconversion-hospitalaria-importante-para-fase-3-lopez-gatell/,,,0,0,Twitter for Android,3766,2757,173,,17/01/2009,Mexico City,Historiadora dando giros... UNAM-Sciences Po-Georgetown💚,,,View
12/04/2020 09:28,@jjvale85,Jorge Valenzuela Esc,"Muy lamentable. A extremar medidas de higiene, estamos a días de comenzar la Fase 3 de la Contingencia Sanitaria RT @lopezdoriga: #Perfil Aquí una semblanza de la trayectoria profesional de Jaime Ruiz Sacristán, allegada siempre al sector bancario y financiero",1249373812950552580,"https://twitter.com/lopezdoriga/status/1249364923198685184
https://bit.ly/3efmJUg",,,0,0,Twitter for Android,654,1530,7,,16/03/2013,"Querétaro, Querétaro Arteaga","Querer a Querétaro, es lo Primero!!!",,,View
12/04/2020 09:27,@Crys_Min92,🥀,"Yo ya ví que acá, en esta semana, máximo la otra, entramos en fase 3, parecen medidas extremas (y un poco si) pero si a la gente le tocas lo que les gusta $ es la unica manera en que harán caso",1249373649775321094,,,,0,1,Twitter for Android,298,216,5,,22/12/2016,P. Sherman Walami 42 Sidney ,방탄소년단 #MinPD Procesando camino a mi propia Epifanía. Min Yoongi 💜 MoonByul ^°^°^Fan Account °^°^°^ En esta casa solo apoyamos a Bangtang Soyeondan y Mamamoo,https://www.instagram.com/crys_min92?r=nametag,,View
12/04/2020 09:27,@Gahe9,Jack the ripper,No solo hay Fase 3 hay Fase4 5 y 6 #QuedateEnCasa hazlo x tu familia @Claudiashein urge adoptar medidas de apoyo para hogares que no pueden dejar de trabajar esta cuarentena #DespensaParaNecesitados #ApoyoAlimentario Los costos económicos y sociales no pueden estar sobre la vida,1249373511807897601,,https://pbs.twimg.com/media/EVaqlY5WsAEc3Os.jpg,,1,2,Twitter for Android,1877,1842,41,,11/04/2010,En tu kokoro,"Los tiempos actuales han echo que todos tengamos voz y eso molesta a quienes se creían dueños de la verdad., tuvieron su oportunidad y prefirieron el dinero",http://bienvenidoselcompajackal.blogspot.com/?m=1,,View
12/04/2020 09:26,@kuraitsukiryu,TSUKI,Sé que pido mucho pero casi todos estarán de acuerdo con ésta pregunta: ¿Sí darán apoyos el actual gobierno sin que sean créditos? Ya que no puedo estar en la calle para vender y casi se me acaba la plata apenas estando por iniciar la fase 3.,1249373397915754499,,,,0,0,Twitter for Android,285,135,9,,16/11/2015,33% completado,Soñar para escribir es mi pasatiempo Comer letras para alimentar mi mente Cometo errores para aprender. Luchando por alguien 😺,http://caminosdelaluna.blogspot.mx,,View
12/04/2020 09:26,@karlapmar_,Karla,"Estamos a punto de pasar a fase 3 y en Boca del Río aún hay gente que va a caminar a la plaza de los valores tranquilamente, lo peor de todo es que sin ningún tipo de protección Y LLEVANDO NIÑOS.",1249373357256126464,,,,0,1,Twitter for iPhone,1606,1832,7,,8/04/2010,"Veracruz, México","psicóloga social. fan de los gatos, las tahoes y las chips moradas. me gustan las letras minúsculas. los ojos turcos me hacen feliz.ㅤㅤㅤㅤㅤ",http://www.instagram.com/karlapmar,,View
12/04/2020 09:26,@AEnriquer189,Enrique R🏆🏆🏆🏆🏆,"No qué no pasaba nada, López obraror en Europa ya estaban en cuarenta y tú diciéndole a la gente qué con sus amuletos y treboles de 6 hojas se protegían del covid-19 Tú y tu gente son los responsables y culparas al pueblo mexicano Fase 3",1249373300901515264,,,,0,0,Twitter for Android,79,148,1,,30/12/2013,"Monterrey, Nuevo León",Glorioso Club Fútbol Monterrey 🇫🇮⚽,,,View
12/04/2020 09:26,@micaelamirabai,Esperancita,"Que linda te ves esperando a salir de tu cuarentena esperancita, pero te faltaba la fase 3 maldita criada",1249373293917978625,,,,1,6,Twitter for Android,37855,99,255,,11/04/2013,Venezuela,"Venezolana. Malditas criadas hay muchas, pero Esperancita, solo yo",http://Instagram.com/micaelamirabai,,View
12/04/2020 09:25,@FutboolDiario,Fútbol Diario,"Muy sabio éste señor Gatell. Aseguró que pasaríamos de la fase 1 a la 2 y de la 2 a la 3... pregunta señor Gatell, nos garantiza que lleguemos a la fase 4? RT @colette_fantin: La fase 3 es cuando las camas de hospital y ventiladores ya no son suficientes; desgraciadamente ya vamos a entrar a esta fase. ¡Quedémonos en casa! Y cómo diría un clásico: Si bien la salud no es todo, sin la salud no hay nada.",1249373154847461376,https://twitter.com/colette_fantin/status/1249369910482010113,pic.twitter.com/zaWb3BcdCa,,0,0,Twitter for Android,72,644,0,,21/07/2014,"Veracruz, México","Desayuno, como, ceno y bebo fútbol...",,,View
12/04/2020 09:24,@Alemarserrano,Alejandro Martínez,"A días de la Fase 3 en México, VIDEOS muestran comedor lleno de empleados en Grupo Salinas",1249372917110050816,https://www.sinembargo.mx/11-04-2020/3766001#.XpNAzesjaQU.twitter,,,2,1,Twitter for iPhone,6657,7294,28,,29/05/2011,"México, D.F.",Profesor Universitario. Mis tuits son a título personal y no tengo filiación política alguna.,,,View
12/04/2020 09:24,@laprensaoem,LA PRENSA,"#Viral #LadyCasas Tal parece que cercanos a entrar a la Fase 3 por la pandemia del coronavirus, hay mucha gente que aún no entiende el significado de #QuedateEnLaCasa. Aquí el video de lo que ocurrió.",1249372725950308352,http://bit.ly/3efpXak,,,2,2,TweetDeck,18934,2726,292,,7/05/2014,Ciudad de México,"Periódico Nacional de la @OEMenlinea, la compañía periodística más grande de América Latina. Facebook: https://goo.gl/8fbbJ6",http://www.la-prensa.com.mx,,View
12/04/2020 09:23,@AMXNoticias,Mexiquense Noticias,"Tras el anuncio de una próxima Fase 3, Autoridades de Ometepec, #Guerrero, informaron a sus pobladores que a partir del lunes estará prohibido salir a las calles después de las 22:00 horas. #Información, #MexiquenseNoticias",1249372660926218241,https://radioytvmexiquense.mx/index.php/2020/04/12/por-covid-19-establecen-toque-de-queda-en-ometepec-guerrero/,,,2,1,Twitter Web App,46416,614,236,✅,11/04/2012,Estado de México,"Somos el sistema de #Noticias de @RMexiquense y @MexiquenseTV. Llevamos hasta ti solo lo que es noticia en el #Edoméx, #México 🇲🇽 y el Mundo 🌎",http://radioytvmexiquense.mx/#mnoticias,,View
12/04/2020 09:23,@moonlightmelii,𝐦𝐞𝐥𝐢𝐬𝐬𝐚⁷✰,ya estamos en fase 3 ayuda,1249372610904948739,,https://pbs.twimg.com/media/EVapw-XXsAEZ4FO.jpg,,0,2,Twitter for iPhone,28,69,0,,9/08/2019,mexico n seokjine’s hearth ,"#𝐒𝐄𝐎𝐊𝐉𝐈𝐍: 𝒊 𝒘𝒊𝒍𝒍 𝒔𝒕𝒂𝒚 𝒃𝒆 𝒖𝒓 𝒔𝒊𝒅𝒆 , 𝒊 𝒘𝒊𝒍𝒍 𝒃𝒆𝒄𝒐𝒎𝒆 𝒖𝒓 𝒍𝒊𝒈𝒉𝒕 , 𝒂𝒍𝒍 𝒇𝒐𝒓 𝒖... ☾♡",https://www.instagram.com/melissavieyra_/,,View
12/04/2020 09:22,@JRaulMI,José Raúl Miranda I,"Buenas tardes favor reportar varias casas sin electricidad, después del corte eléctrico de las 3 pm al regresar llegó sin intensidad, o con 1 sola fase. Manzanas 12 13 14 de la 3ra etapa afectadas. URB: CIUDAD ALIANZA 05/04/2020",1249372337323094017,,,,0,0,Twitter for Android,177,661,1,,14/10/2009,,,,,View
12/04/2020 09:22,@RutaElectoralmx,RutaElectoralmx,Legislativo Urge @MarthaTagle de @DipCiudadanoMX acelerar al @GobiernoMX las pruebas de COVID-19 para proteger a la población ya que se esta a mitad de la cuarentena y a unos días de que se declare la fase 3 de la pandemia.,1249372203239571458,https://bit.ly/2xnajZJ,https://pbs.twimg.com/media/EVaov3rWkAARNYg.jpg,,0,0,Twitter Web App,11744,3,80,,26/11/2010,México,"Somos una plataforma de “smart news”, toda la información electoral, legislativa y política",http://www.rutaelectoral.mx,,View
12/04/2020 09:21,@alediceque,Alediceque,"Que linda te ves en cuarentena Esperancita, pero te faltó la fase 3 maldita criada.",1249372098021097473,,,,0,1,Twitter for iPhone,21,73,0,,24/02/2020,,Futuro cadaver,http://diceque.con.mx,,View
12/04/2020 09:20,@germancuriel5,CIBERCLOPEDIA WEX 2144,"FASE 3 DEBEMOS DE RESPETAR A QUIENES VEMOS EN LA CALLE Y QUE TIENEN QUE SALIR A CONSEGUIR DINERO PARA COMER AL DÍA, SOMOS MUCHOS EN ESA SITUACIÓN.",1249371917145894912,,https://pbs.twimg.com/media/EVapIeBUUAESB4A.jpg,,3,7,Twitter for Android,6101,4492,5,,10/04/2019,"Jalisco, México","DISFRUTAR UN MEXICO LIBRE,CON BIENESTAR,PAZ.ANTI #CHAIROS CTA.ALTERNA @2144Wex1 #OPOSICION #CONTRAPESO A GOB. DE ANDRÉS M.LÓPEZ OBRADOR🚫FOLLOWERS 🔞 I'M -7 GMT",,,View
12/04/2020 09:20,@SoyPhoebeGrey,𝑷𝒉𝒐𝒆𝒃𝒆 𝑹𝒐𝒔𝒆 𝑮𝒓𝒆𝒚 (📍𝙐𝙣𝙠𝙣𝙤𝙬𝙣),"|| No inventes, ¿ya pasamos a la fase 3?",1249371886414372864,,,,0,0,Twitter for Android,15545,12601,28,,4/10/2014, [🅢🅛🅜❷❸⓿❷][🅣❶❻⓿❼],ⓧⓧⓥ ➳ʜɪᴊᴀ ᴅᴇʟ ᴇᴍᴘʀᴇsᴀʀɪᴏ ᴄʜʀɪsᴛɪᴀɴ ɢʀᴇʏ ʏ ᴀɴᴀsᴛᴀsɪᴀ sᴛᴇᴇʟᴇ.« ┉ ❝ʏᴏᴜ ᴍᴀʏ sᴇᴇ ᴍᴇ sᴛʀᴜɢɢʟᴇ... ʙᴜᴛ ʏᴏᴜ ᴡɪʟʟ ɴᴇᴠᴇʀ sᴇᴇ ᴍᴇ ǫᴜɪᴛ.❞ ┉ #Phoᥒᥒᥲh,https://curiouscat.me/SoyPhoebeGrey,,View
12/04/2020 09:20,@Central_CM,Central Municipal,"Cercanos a la Fase 3 y ante la crisis propiciada por el coronavirus COVID-19 en México, la gente recurre a la religión, o a las costumbres de los abuelos. porfavor ¿De qué otra forma te proteges contra el coronavirus?",1249371700732612608,https://bit.ly/3ca89LO,,,0,0,Twitter Web App,35633,28058,241,,21/08/2012,México,Un medio que se acerca a tus ciudades y municipios dando voz a los temas políticos y culturales desde una perspectiva local.,http://centralmunicipal.net,,View
12/04/2020 09:19,@Tiburon_jb,El Tiburón,"El cierre de escuelas, en Estados Unidos, ha bajado la tasa de contagio de coronavirus y la del número de muertos por tiroteos.... Fase 3",1249371594167910402,,,,0,0,Twitter for Android,1452,217,15,,10/09/2012,Hidalgo,Soy el tuitero favorito de tu tuitero favorito... Mis tuits son selfies de mi alma...,,,View
12/04/2020 09:19,@Ana_Luelmo,_anatta_,Fase 3 la de tus chingaderas.,1249371476353929216,,,,0,1,Twitter for iPhone,3555,992,149,,14/05/2009,Caminando,,,,View
12/04/2020 09:19,@fernando_pmm,Fernando PMM (#QuédateEnCasa),"Como dice Donald Trump, la CNN es FAKE NEWS. A mi padre de 85 años la HIDROXICLOROQUINA le ha curado tras 3 semanas hospitalizado. En España y otros países se está suministrando con resultados de curación cercanos al 100% si se pille al paciente en una fase no muy desarrollada. RT @CNNEE: “Lo que está diciendo Trump sobre la hidroxicloroquina no tiene sustento científico”, dice el doctor Elmer Huerta.",1249371450974355457,"https://twitter.com/CNNEE/status/1248966594690256896
https://cnn.it/2Xs5RDK",,,0,0,Twitter Web App,960,137,1,,16/10/2019,España 🇪🇦,La tiranía comunista China es la culpable y la globalista OMS/ONU su cómplice,,,View
12/04/2020 09:18,@ponchatetas,Marco...🚬,Yo ya estoy en la fase 3 pero de depresión,1249371341775499265,,pic.twitter.com/RmWZFBwqjG,,0,0,Twitter for iPhone,39,46,0,,16/07/2015,"Cuernavaca, Morelos","Un día hice la fotosíntesis con las plantas de mis pies. Sigueme, en tu corazón. 😘",,,View
12/04/2020 09:18,@Elijahector,HectorVargas,"Yo ya estoy en la fase 3, pero de Lujuria",1249371273999855618,,,,0,1,Twitter for Android,2496,91,7,,31/07/2014,"Iztapalapa, Distrito Federal",UNAM Fes Aragón | Planificación Para El Desarrollo Agropecuario | Agenda2030 Cero Hambre | Tierra y Libertad | 🐷🐏🐴🐥🐰🌽🍌🍎🥝 | 🇨🇺🇵🇦🇲🇽| México,https://m.facebook.com/hectoor.moraditho?ref=bookmarks,,View
12/04/2020 09:18,@CassAmairani,Amairani Cass,"No se preocupen seremos más fuertes que la Fase 3, si ya hemos vivido con cosas de este tipo, podemos soportar. #QuedateEnCasa ",1249371212830199811,,pic.twitter.com/uV4o8EafkN,,0,0,Twitter for Android,280,1056,0,,8/05/2019,Ciudad de México,"Soy guapa por herencia y cabrona por experiencia, si no me creen conóceme y veremos... Harta de lo que pasa en nuestro país",,,View
12/04/2020 09:17,@acostademi,Andrés Acosta,"Pasa un coche a toda velocidad reproduciendo el sonido de una campana a todo volumen. No sé si anuncia el fin del mundo, el inicio de la fase 3 o una procesión. Atrás viene el de los colchones o fierros viejos que venda.",1249371142978183168,,,,0,4,Twitter for iPhone,2119,1425,33,,28/02/2012,,¿Y cómo va la novela?,http://andres-acosta.blogspot.com/,,View
12/04/2020 09:17,@JulioLeyvaR,JULIO CESAR LEYVA,Fase 3. 11 de abril de 2020 - Noroña,1249371064552976384,https://julius555.blogspot.com/2020/04/fase-3-11-de-abril-de-2020-norona_12.html,,,0,0,Twitter Web Client,409,1355,0,,26/06/2010,,,http://julius555.blogspot.mx/,,View
12/04/2020 09:17,@YuyoOficial,YUYO 🌐,"Que linda te ves esperando a salir de tu cuarentena Esperancita, pero te faltaba la fase 3 maldita criada.",1249371042566545408,,,,2,14,Twitter for iPhone,44471,17714,82,,18/05/2015,"Puebla, CDMX, Argentina",LDPP No todos los PIPOPES somos pendejos +17 #YUYO http://Instagram.com/yuyo.oficial // http://facebook.com/yuyooficial // business:contacto@thinkersinmotion.mx,https://www.thinkersinmotion.mx,,View
12/04/2020 09:17,@AndiHSnchez1,Andi H Sánchez,Mientras tanto nuestro presidente en preparación para la Fase 3...,1249371019850072069,,https://pbs.twimg.com/media/EVaoTJzUcAA2J2y.jpg,,4,9,Twitter for iPhone,703,586,0,,10/12/2019,"Xalapa, Veracruz de Ignacio de la Llave",Vocero del Movimiento Antorchista en Veracruz 🔥🔥,http://www.antorchacampesina.org.mx,,View
12/04/2020 09:16,@JefeMae20888519,Jefe Maestro,"Se viene la fase 3 en un México en el que el presidente tuvo tres meses para alertar a la población de esta etapa, sin embargo lo vimos con sus detentes, abrazos, giras y a un Gatell manipulando información para no contradecir a su patrón #AMLOseVA15",1249370904225873920,,https://pbs.twimg.com/media/EVaoNaeWoAgKk5t.jpg,,8,22,Twitter for Android,6,10,0,,31/12/2019,,"Pelea por tus convicciones, no por las de otros.",,,View
